,calories,carbs,category,fat,name,restaurant
0,0,0,Drinks,0,A&W® Diet Root Beer,A&W Restaurants
1,0,0,Drinks,0,A&W® Diet Root Beer,A&W Restaurants
2,0,0,Drinks,0,A&W® Diet Root Beer,A&W Restaurants
3,0,0,Drinks,0,A&W® Diet Root Beer,A&W Restaurants
4,0,0,Drinks,0,A&W® Diet Root Beer,A&W Restaurants
5,0,0,Drinks,0,A&W® Diet Root Beer,A&W Restaurants
6,350,60,Shakes,10,A&W® Diet Root Beer Float (large),A&W Restaurants
7,170,30,Shakes,5,A&W® Diet Root Beer Float (medium),A&W Restaurants
8,170,30,Shakes,5,A&W® Diet Root Beer Float (small),A&W Restaurants
9,600,92,Shakes,18,A&W® Diet Root Beer Freeze (large),A&W Restaurants
10,340,53,Shakes,10,A&W® Diet Root Beer Freeze (medium),A&W Restaurants
11,260,39,Shakes,8,A&W® Diet Root Beer Freeze (small),A&W Restaurants
12,160,43,Drinks,0,A&W® Root Beer,A&W Restaurants
13,220,58,Drinks,0,A&W® Root Beer,A&W Restaurants
14,270,72,Drinks,0,A&W® Root Beer,A&W Restaurants
15,440,116,Drinks,0,A&W® Root Beer,A&W Restaurants
16,880,232,Drinks,0,A&W® Root Beer,A&W Restaurants
17,1760,464,Drinks,0,A&W® Root Beer,A&W Restaurants
18,640,136,Shakes,10,A&W® Root Beer Float (large),A&W Restaurants
19,350,77,Shakes,5,A&W® Root Beer Float (medium),A&W Restaurants
20,330,70,Shakes,5,A&W® Root Beer Float (small),A&W Restaurants
21,820,150,Shakes,18,A&W® Root Beer Freeze (large),A&W Restaurants
22,480,89,Shakes,10,A&W® Root Beer Freeze (medium),A&W Restaurants
23,370,68,Shakes,8,A&W® Root Beer Freeze (small),A&W Restaurants
24,270,67,Drinks,0,Blue Raspberry Slushee,A&W Restaurants
25,370,91,Drinks,0,Blue Raspberry Slushee,A&W Restaurants
26,570,142,Drinks,0,Blue Raspberry Slushee,A&W Restaurants
27,740,182,Drinks,0,Blue Raspberry Slushee,A&W Restaurants
28,480,62,Sides,27,Breaded Onion Rings (Large),A&W Restaurants
29,350,45,Sides,16,Breaded Onion Rings (Regular),A&W Restaurants
30,340,57,Desserts,9,Caramel Sundae,A&W Restaurants
31,1140,54,Sides,80,Cheese Curds (Large),A&W Restaurants
32,570,27,Sides,40,Cheese Curds (Regular),A&W Restaurants
33,350,26,Entrees,22,Cheese Dog,A&W Restaurants
